ID,Section,Check,Severity,CLI Command,GUI,Expected (Pass),Misconfigured (Fail),CIS Controls v8,PCI DSS v4.0,Status,Notes
1.3.7,Brocade - Management,Management IP access restricted by ACL to management subnet,HIGH,"ipfilter --show","Web Tools: Switch Admin > IP Filter","CLI: ipfilter --show shows permit rules limited to management subnet CIDR (e.g. 10.10.0.0/24); all other sources denied | GUI: IP Filter shows restrictive rules with management VLAN range only","CLI: ipfilter --show shows 'permit tcp any any' or no deny rules | GUI: IP Filter shows any/any rules or is empty — management reachable from any host","CIS 12.2","Req 1.3.2; Req 1.4.1",,
1.3.8,Brocade - Management,Audit logging enabled,MEDIUM,"auditcfg --show","Web Tools: Admin > Audit Config","CLI: auditcfg --show returns filter entries covering AUTH / ZONE / SECURITY / FIRMWARE event classes | GUI: Audit Config shows Enabled with event categories ticked","CLI: auditcfg --show returns empty filter list or shows 'disabled' | GUI: Audit Config shows Disabled or no categories selected — security events not recorded","CIS 8.2","Req 10.2.1; Req 10.3.2",,
1.3.9,Brocade - Management,Syslog configured to remote SIEM,MEDIUM,"syslogdipadd list","Web Tools: Switch Admin > Syslog","CLI: syslogdipadd list returns one or more SIEM IP addresses | GUI: Syslog page shows remote server IP configured with appropriate facility/severity","CLI: syslogdipadd list returns empty — no remote destination | GUI: Syslog page shows no remote server configured — logs stored locally only and may be lost","CIS 8.2; CIS 13.1","Req 10.5.1; Req 10.6.1",,
1.3.10,Brocade - Management,Firmware at current supported level (check Broadcom CVEs),HIGH,"version","SANnav: Inventory > Firmware","CLI: version returns FOS version matching or above Broadcom's current recommended release with no open CVEs | GUI: SANnav firmware column matches current Broadcom release","CLI: version returns outdated FOS version with published CVEs | GUI: SANnav flags firmware as outdated or below minimum supported level","CIS 7.2","Req 6.3.3; Req 11.3.1",,
2.1.1,Alletra MP - Host Access,No volumes presented to wildcard / all-hosts,CRITICAL,"showvlun -t","SSMC: Block Persona > Virtual Volumes > Exports — filter by host","CLI: showvlun -t shows every row has a specific named hostname in the Host column | GUI: Exports list shows all volumes assigned to named hosts — no blank or wildcard host entries","CLI: showvlun -t shows Host = * or blank host field for one or more LUNs | GUI: Export entry shows host field as '*' or 'All Hosts' — any connected host can access the volume","CIS 6.1; CIS 3.3","Req 7.2.1; Req 1.3.2",,
2.1.2,Alletra MP - Host Access,Each ESX host or cluster in its own host set,HIGH,"showhostset","SSMC: Block Persona > Hosts > Host Sets","CLI: showhostset shows host sets aligned 1:1 to clusters; no mixing of hosts from different environments | GUI: Host Sets view shows logically named sets containing only hosts from the same cluster","CLI: showhostset shows production and dev/test ESX hosts in the same host set | GUI: Host sets contain mixed or ungrouped hosts from different clusters or environments","CIS 6.2","Req 7.2.2; Req 7.2.5",,
2.1.3,Alletra MP - Host Access,LUN 0 not presented to ESX hosts,MEDIUM,"showvlun -t","SSMC: Virtual Volumes > Exports — sort by LUN ID","CLI: showvlun -t shows no entries where LUN column = 0 for VMware hosts | GUI: Exports sorted by LUN ID shows lowest LUN for VMware hosts is 1 or higher","CLI: showvlun -t shows lun=0 mapped to a VMware host | GUI: LUN 0 visible in VMware host export list — can cause rescan issues and unexpected device enumeration","CIS 4.1","Req 2.2.1",,
2.1.4,Alletra MP - Host Access,iSCSI ports use mutual CHAP (if iSCSI in use),HIGH,"showport -iscsi; showiscsisession","SSMC: Block Persona > Ports > iSCSI","CLI: showiscsisession shows AuthMethod: CHAP (Mutual) for all sessions | GUI: iSCSI port config shows CHAP: Mutual with initiator and target secrets configured","CLI: showiscsisession shows AuthMethod: None | GUI: iSCSI port shows CHAP: Disabled or None — initiator can connect without authentication","CIS 4.2; CIS 6.3","Req 8.6.1; Req 4.2.1",,
2.2.1,Alletra MP - Management,Default Administrator account disabled or renamed,CRITICAL,"showuser -d Administrator","SSMC: Security > Users","CLI: showuser -d Administrator returns 'Account status: Disabled' or 'User not found' | GUI: Administrator account shows Disabled status or does not appear in user list","CLI: showuser -d Administrator returns 'Account status: Enabled' | GUI: Administrator account shows Active/Enabled — well-known default credential is a target for attackers","CIS 5.2","Req 2.1.1; Req 8.2.3",,
2.2.2,Alletra MP - Management,Named accounts only (no shared credentials),HIGH,"showuser","SSMC: Security > Users","CLI: showuser lists only individually owned accounts (e.g. firstname.lastname or role-specific service accounts with documented owners) | GUI: Users list shows named individuals with clear ownership","CLI: showuser lists generic accounts like 'admin' / 'backup_user' / 'monitoring' used by multiple people | GUI: Generic account names with no individual owner visible in user list","CIS 5.1","Req 8.2.1; Req 8.2.2",,
2.2.3,Alletra MP - Management,Least-privilege roles assigned (no unnecessary super role),HIGH,"showuser -d <username>","SSMC: Security > Users > Roles","CLI: showuser -d <username> shows role: browse or edit for non-admins; super role limited to designated storage admins only | GUI: Roles column shows varied roles (Browse / Edit / Administrator) — not all Super","CLI: showuser -d backup_user shows role: super | GUI: All users show Super or Administrator role — no role separation between admin and operator functions","CIS 6.2","Req 7.2.2",,
2.2.4,Alletra MP - Management,MFA enabled (if SSMC version supports it),HIGH,"showsys (check version); auth policy via SSMC only","SSMC: Security > Authentication Policies","CLI: showsys confirms SSMC version supports MFA | GUI: Authentication Policies shows MFA: Required or Enabled for all admin logins","CLI: Version supports MFA but policy not enforced | GUI: Authentication Policies shows MFA: Disabled or not configured — password-only login accepted","CIS 6.3","Req 8.4.2; Req 8.5.1",,
2.2.5,Alletra MP - Management,API client credentials rotated and inventoried,MEDIUM,"No direct CLI","OneView: Security > API Clients","CLI: N/A | GUI: API Clients list shows all clients with known owners; last-rotated dates within policy window (e.g. 90 days)","CLI: N/A | GUI: API clients show creation dates months or years old with no rotation record — stale credentials that may be broadly shared","CIS 5.3; CIS 4.7","Req 8.3.7; Req 8.6.2",,
2.2.6,Alletra MP - Management,Audit logging enabled and shipped to SIEM,MEDIUM,"showsys -detail","SSMC: System > Event Log Settings","CLI: showsys -detail shows syslog server IP configured with event categories enabled | GUI: Event Log Settings shows remote syslog IP and event types selected","CLI: showsys -detail shows no remote syslog target | GUI: Event Log Settings shows no remote server — logs only stored locally and may roll over without SIEM visibility","CIS 8.2","Req 10.2.1; Req 10.6.1",,
2.2.7,Alletra MP - Management,Management interface on OOB / management VLAN only,HIGH,"shownet","Physical / switch config verification","CLI: shownet shows management IP in a dedicated management subnet (e.g. 10.0.0.x) isolated from data and VM VLANs | GUI: Network config shows management IP on a separate VLAN with no overlap with storage or VM subnets","CLI: shownet shows management IP on same subnet as ESX data or VM traffic | GUI: Management IP shares VLAN or subnet with data network — management plane reachable from untrusted hosts","CIS 12.2","Req 1.3.2; Req 1.4.1",,
2.2.8,Alletra MP - Management,HTTPS only for SSMC / REST API (TLS 1.2+),HIGH,"showcert; openssl s_client -connect <ssmc-ip>:443","SSMC: Security > Certificate Management","CLI: showcert shows valid cert with future expiry; openssl shows TLSv1.2 or TLSv1.3; port 80 refused | GUI: Certificate Management shows green valid cert; no HTTP access possible","CLI: openssl shows TLSv1.0/1.1 negotiated or cert is expired; port 80 responds with HTTP 200 | GUI: Certificate shows expired or near-expiry warning; HTTP accessible","CIS 4.8; CIS 12.6","Req 4.2.1; Req 2.2.5",,
2.2.9,Alletra MP - Management,Firmware at current HPE supported level,HIGH,"showsys","SSMC: System > Software > Versions","CLI: showsys returns firmware version matching HPE's current SPP release with no open advisories | GUI: Software Versions page shows version matching HPE Support Center current recommended release","CLI: showsys returns firmware version behind HPE's current release | GUI: Software Versions shows outdated version; HPE advisory warnings may appear","CIS 7.2","Req 6.3.3; Req 11.3.1",,
2.3.1,Alletra MP - Data Protection,Snapshot schedules have retention limits set,MEDIUM,"showsched","SSMC: Data Protection > Schedules","CLI: showsched shows each schedule with a defined expiry/retain value (e.g. retain: 30d) | GUI: Schedules list shows a retention period populated for every schedule","CLI: showsched shows retain: unlimited or no expiry field for one or more schedules | GUI: Schedule entry shows 'No expiration' or blank retention — snapshots accumulate indefinitely and can exhaust pool capacity","CIS 11.2","Req 12.3.4; Req 3.2.1",,
2.3.2,Alletra MP - Data Protection,Replication traffic encrypted (if remote copy in use),HIGH,"showrcopy; showport -rcip","SSMC: Data Protection > Remote Copy","CLI: showrcopy shows Encryption: enabled for each replication link | GUI: Remote Copy links show Encryption: Enabled in link details","CLI: showrcopy shows Encryption: none or disabled | GUI: Remote Copy links show Encryption: None — replication data transmitted in cleartext between sites","CIS 3.10","Req 4.2.1",,
2.3.3,Alletra MP - Data Protection,Replication peer authentication configured (not none),HIGH,"showrcopy targets","SSMC: Data Protection > Remote Copy > Targets","CLI: showrcopy targets shows auth method (e.g. chap) for each peer — not 'none' | GUI: Remote Copy Targets show Authentication: Configured with a defined method","CLI: showrcopy targets shows auth: none for one or more peers | GUI: Target authentication field shows 'None' — peer can replicate without authentication","CIS 6.1; CIS 4.2","Req 8.6.1; Req 1.2.1",,
3.1,VMware ESX,ESX hosts only enumerate their assigned LUNs (no cross-visibility),CRITICAL,"esxcli storage san fc list; esxcli storage core path list","vCenter: Host > Configure > Storage Adapters > Targets","CLI: esxcli storage core path list shows only paths to LUNs in the host's assigned host group; target count matches expected | GUI: Storage Adapters > Targets shows only the assigned Alletra array and correct LUN count","CLI: esxcli storage core path list shows paths to LUNs belonging to other host groups or unexpected arrays | GUI: Unexpected targets or additional LUNs visible beyond what is assigned to this host","CIS 6.1; CIS 12.2","Req 7.2.1; Req 1.3.2",,
3.2,VMware ESX,NPIV disabled if not actively used,MEDIUM,"esxcli storage san fc npiv list","vCenter: Host > Configure > Storage Adapters — check for NPIV ports","CLI: esxcli storage san fc npiv list returns empty / no output | GUI: Storage Adapters shows no NPIV virtual ports listed under physical HBAs","CLI: esxcli storage san fc npiv list returns one or more NPIV virtual port entries | GUI: NPIV ports visible under storage adapters — VMs could have their own WWNs and bypass host-level zoning","CIS 4.8","Req 2.2.5",,
3.3,VMware ESX,HPE Alletra VAAI plugin installed from HPE (not third-party substitute),MEDIUM,"esxcli software vib list | grep -i hpe","vCenter: Host > Configure > Software > Installed Packages","CLI: VIB list shows HPE-signed VAAI plugin with correct HPE vendor ID and expected version | GUI: Installed Packages shows HPE plugin with HPE as vendor and current version","CLI: VIB absent or shows non-HPE vendor name for VAAI component | GUI: HPE plugin missing or replaced by third-party package with unverified vendor","CIS 2.3","Req 6.3.2",,
3.4,VMware ESX,ESX lockdown mode enabled on all production hosts,HIGH,"vim-cmd vimsvc/auth/lockdown_is_enabled","vCenter: Host > Configure > Security Profile > Lockdown Mode","CLI: vim-cmd vimsvc/auth/lockdown_is_enabled returns 'true' | GUI: Security Profile shows Lockdown Mode: Normal (local admin only) or Strict (no local access)","CLI: returns 'false' | GUI: Security Profile shows Lockdown Mode: Disabled — direct host access bypasses vCenter RBAC and audit trail","CIS 4.2; CIS 6.2","Req 2.2.1; Req 7.2.2",,
3.5,VMware ESX,ESX Shell disabled on production hosts,MEDIUM,"esxcli system settings advanced get -o /UserVars/ESXiShellInteractiveTimeOut","vCenter: Host > Configure > Security Profile > Services — ESX Shell","CLI: ESXiShellInteractiveTimeOut = 0 and ESX Shell service stopped (or timeout ≤ 600s if shell is required for break-glass) | GUI: Services list shows ESX Shell: Stopped with Policy: Off","CLI: ESXiShellInteractiveTimeOut not set or very large; ESX Shell service running | GUI: ESX Shell shows Running or Policy: Start and stop with host — persistent local shell access available","CIS 4.8","Req 2.2.5",,
3.6,VMware ESX,SSH disabled on production hosts,MEDIUM,"esxcli network firewall ruleset list | grep sshServer","vCenter: Host > Configure > Security Profile > Services — SSH","CLI: sshServer ruleset shows enabled: false | GUI: Services list shows SSH: Stopped with Policy: Off","CLI: sshServer ruleset shows enabled: true | GUI: SSH shows Running — unnecessary remote shell access exposed on every host","CIS 4.8","Req 2.2.5",,
3.7,VMware ESX,ESX management on dedicated management VLAN (not shared with storage or VM traffic),HIGH,"esxcli network ip interface list","vCenter: Host > Configure > Networking > VMkernel Adapters","CLI: esxcli network ip interface list shows vmk0 management adapter on a VLAN/subnet distinct from storage vmk and VM port groups | GUI: VMkernel Adapters shows Management adapter with a different VLAN ID from vMotion / storage / VM traffic adapters","CLI: vmk0 management IP on same VLAN or subnet as VM or storage traffic | GUI: Management vmkernel shares VLAN ID with other traffic types — management plane reachable from VM network","CIS 12.2","Req 1.3.2; Req 1.4.1",,
3.8,VMware ESX,No shared administrator@vsphere.local — named accounts only in vCenter,HIGH,"Cannot verify via CLI — confirm with team","vCenter: Administration > Access Control > Roles and Users","CLI: N/A | GUI: Users list shows individually named accounts with appropriate roles; administrator@vsphere.local not used for daily operations and its password is controlled","CLI: N/A | GUI: Only administrator@vsphere.local or generic accounts present; multiple staff using the same credential with no individual audit trail","CIS 5.1","Req 8.2.1; Req 8.2.2",,
3.9,VMware ESX,HBA firmware at current HPE-certified level (check VMware HCL and HPE SPP),HIGH,"esxcli storage san fc list","vCenter: Host > Configure > Storage Adapters — driver / firmware version","CLI: esxcli storage san fc list shows driver and firmware version matching HPE SPP and listed on VMware HCL for this ESXi version | GUI: Storage Adapters shows firmware version matching HPE's certified and recommended level","CLI: Driver or firmware version not present in current HPE SPP or absent from VMware HCL | GUI: Firmware version mismatches HPE SPP or VMware HCL — may trigger unsupported configuration warnings or expose known vulnerabilities","CIS 7.2","Req 6.3.3; Req 11.3.1",,
